X_temp,y
jurong point crazi avail bugi great world buffet cine got amor wat,0
lar joke wif oni,0
free entri wkli comp win cup final tkt 21st may 2005 text 87121 receiv entri question std txt rate appli 08452810075over18,1
dun say earli hor alreadi say,0
nah think goe usf live around though,0
freemsg hey darl week word back like fun still xxx std chg send rcv,1
even brother like speak treat like aid patent,0
per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0
winner valu network custom select receivea 900 prize reward claim call 09061701461 claim code kl341 valid hour,1
mobil month entitl updat latest colour mobil camera free call mobil updat free 08002986030,1
gonna home soon want talk stuff anymor tonight cri enough today,0
six chanc win cash 100 000 pound txt csh11 send 87575 cost 150p day 6day tsandc appli repli info,1
urgent week free membership 100 000 prize jackpot txt word claim 81010 www dbuk net lccltd pobox 4403ldnw1a7rw18,1
search right word thank breather promis wont take help grant fulfil promis wonder bless time,0
date sunday,0
xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com qjkgighjjgcbl,1
watch,0
rememb spell name ye naughti make wet,0
fine way feel way gota,0
england macedonia dont miss goal team news txt nation team 87077 england 87077 tri wale scotland 4txt poboxox36504w45wq,1
serious spell name,0
go tri month joke,0
pay first lar stock comin,0
aft finish lunch str lor ard smth lor finish lunch alreadi,0
ffffffffff alright way meet sooner,0
forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,0
lol alway convinc,0
catch bu fri egg make tea eat mom left dinner feel love,0
back amp pack car let know room,0
ahhh work vagu rememb feel like lol,0
wait still clear sure sarcast want live,0
yeah got apologet fallen actin like spoilt child got caught till badli cheer,0
tell anyth,0
fear faint housework quick cuppa,0
thank subscript rington mobil charg month pleas confirm repli ye repli charg,1
yup home look time msg xuhui go learn 2nd may lesson 8am,0
oop let know roommat done,0
see letter car,0
anyth lor decid,0
hello saturday text see decid anyth tomo tri invit anyth,0
pl ahead watt want sure great weekend abiola,0
forget tell want need crave love sweet arabian steed mmmmmm yummi,0
07732584351 rodger burn msg tri call repli sm free nokia mobil free camcord pleas call 08000930705 deliveri tomorrow,1
see,0
great hope like man well endow inch,0
call messag miss call,0
get hep immunis nigeria,0
fair enough anyth go,0
yeah hope tyler could mayb ask around bit,0
know stubborn even want hospit kept tell mark weak sucker hospit weak sucker,0
think first time saw class,0
gram usual run like half eighth smarter though get almost whole second gram,0
fyi ride earli tomorrow morn crash place tonight,0
wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass,0
sm sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,1
know mallika sherawat yesterday find url,0
congrat year special cinema pass call 09061209465 suprman matrix3 starwars3 etc free bx420 ip4 5we 150pm dont miss,1
sorri call later meet,0
tell reach,0
ye gauti sehwag odi seri,0
gonna pick burger way home even move pain kill,0
good joke girl situat seeker,0
part check,0
sorri roommat took forev come,0
lar doubl check wif hair dresser alreadi said wun cut short said cut look nice,0
valu custom pleas advis follow recent review mob award 1500 bonu prize call 09066364589,1
today song dedic day song dedic send valuabl frnd first rpli,0
urgent award complimentari trip eurodisinc trav aco entry41 1000 claim txt di 87121 morefrmmob shracomorsglsuplt ls1 3aj,1
hear new divorc barbi come ken stuff,1
plane give month end,0
wah lucki man save money hee,0
finish class,0
babe home wanna someth,0
perform,0
call,0
wait machan call free,0
that cool gentleman treat digniti respect,0
like peopl much shi,0
oper,0
still look job much earn,0
sorri call later,0
call,0
way home,0
place man,0
yup next stop,0
call later network urgnt sm,0
real get need ticket one jacket done alreadi use multi,0
ye start send request make pain came back back bed doubl coin factori gotta cash nitro,0
realli still tonight babe,0
ela kano download come wen free,0
yeah stand close tho catch someth,0
sorri pain meet anoth night spent late afternoon casualti mean done stuff42moro includ time sheet sorri,0
smile pleasur smile pain smile troubl pour like rain smile sum1 hurt smile becoz someon still love see smile,0
pleas call custom servic repres 0800 169 6031 10am 9pm guarante 1000 cash 5000 prize,1
havent plan buy later check alreadi lido got 530 show afternoon finish work alreadi,0
free rington wait collect simpli text password mix 85069 verifi get usher britney fml box 5249 mk17 92h 450ppw,1
watch telugu movi wat abt,0
see finish load loan pay,0
hol ye bit run forgot hairdress appoint four need get home shower beforehand caus prob,0
see cup coffe anim,0
pleas text anymor noth els say,0
okay name price long legal wen pick ave am,0
still look car buy gone 4the drive test yet,0
per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0
wow right mean guess gave boston men chang search locat nyc someth chang cuz signin page still say boston,0
umma life vava umma love lot dear,0
thank lot wish birthday thank make birthday truli memor,0
aight hit get cash,0
would address test consid comput minecraft server,0
know grumpi old peopl mom like better lie alway one play joke,0
dont worri guess busi,0
plural noun research,0
go dinner msg,0
wif co like tri new thing scare dun like mah co said loud,0
gent tri contact last weekend draw show 1000 prize guarante call 09064012160 claim code k52 valid 12hr 150ppm,1
openin sentenc formal anyway fine juz eatin much puttin weight haha anythin special happen,0
enter cabin said happi day boss felt special askd lunch lunch invit apart went,0
winner special select receiv 1000 holiday flight inc speak live oper claim 0871277810910p min,1
goodo ye must speak friday egg potato ratio tortilla need,0
hmm uncl inform pay school directli pl buy food,0
privat 2004 account statement 07742676969 show 786 unredeem bonu point claim call 08719180248 identifi code 45239 expir,1
urgent mobil award 2000 bonu caller prize final tri contact call landlin 09064019788 box42wr29c 150ppm,1
new address appl pair malarki,0
today voda number end 7548 select receiv 350 award match pleas call 08712300220 quot claim code 4041 standard rate app,1
go sao today done,0
predict wat time finish buy,0
good stuff,0
know yetund sent money yet sent text bother send dont involv anyth impos anyth first place apologis,0
room,0
hey girl hope well del bak long time give call sum time lucyxx,0
much cost,0
home,0
dear call tmorrow pl accomod,0
first answer question,0
sunshin quiz wkli win top soni dvd player know countri algarv txt ansr 82277 tyron,1
want get laid tonight want real dog locat sent direct mob join largest dog network txting gravel 69888 ec2a 31p msg 150p,1
haf msn yiju hotmail com,0
call meet,0
check room befor activ,0
rcv msg chat svc free hardcor servic text 69988 get noth must age verifi network tri,1
got lazi type forgot lect saw pouch like nice,0
text way,0
sir wait mail,0
swt thought nver get tire littl thing lovabl person coz somtim littl thing occupi biggest part heart gud ni8,0
know pl open back,0
ye see dot,0
what staff name take class,0
freemsg repli text randi sexi femal live local luv hear netcollex ltd 08700621170150p per msg repli stop end,1
ummma call check life begin qatar pl pray hard,0
delet contact,0
sindu got job birla soft,0
wine flow never,0
yup thk cine better co need plaza mah,0
typic repli,0
per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,0
everywher dirt floor window even shirt sometim open mouth come flow dream world without half chore time joy lot show see guess like thing must exist like rain hail mist time done becom one,0
aaooooright work,0
leav hous,0
hello love get interview today happi good boy think miss,0
custom servic annonc new year deliveri wait pleas call 07046744435 arrang deliveri,1
winner special select receiv 1000 cash holiday flight inc speak live oper claim 0871277810810,1
keep safe need miss alreadi envi everyon see real life,0
new car hous parent new job hand,0
love excit day spend make happi,0
pl stop bootydeli invit friend repli ye 434 434 see www sm bootydeli stop send stop frnd 62468,1
bangbab order way receiv servic msg download content goto wap bangb mobil internet servic menu,1
place point cultur modul alreadi,0
urgent tri contact last weekend draw show 900 prize guarante call 09061701939 claim code s89 valid 12hr,1
frnd best way avoid missunderstd wit belov one,0
great escap fanci bridg need lager see tomo,0
ye complet form clark also utter wast,0
sir need axi bank account bank address,0
hmmm thk sure got time hop ard free abt muz call discuss liao,0
time come later,0
bloodi hell cant believ forgot surnam ill give clue spanish begin,0
well gonna finish bath good fine night,0
let know got money carlo make call,0
still go mall,0
turn friend stay whole show back til feel free ahead smoke worth,0
text doesnt repli let know log,0
spoke maneesha like know satisfi experi repli toll free ye,0
lift hope offer money need especi end month approach hurt studi anyway gr8 weekend,0
lol trust,0
gentleman treat digniti respect,0
guy close,0
go noth great bye,0
hello handsom find job lazi work toward get back net mummi boytoy miss,0
haha awesom minut,0
pleas call custom servic repres freephon 0808 145 4742 9am 11pm guarante 1000 cash 5000 prize,1
got xma radio time get,0
ju reach home bath first si use net tell finish,0
uniqu enough find 30th august www areyouuniqu,1
sorri join leagu peopl dont keep touch mean great deal friend time even great person cost great week,0
final complet cours,0
stop howev suggest stay someon abl give or everi stool,0
hope settl new school year wishin gr8 day,0
gud mrng dear hav nice day,0
got person stori,0
hamster dead hey tmr meet 1pm orchard mrt,0
kate even hope see tomorrow bit bloodi babyjontet txt back xxx,0
found enc,0
sent buck,0
hello darlin ive finish colleg txt finish love kate xxx,0
account refil success inr decim keralacircl prepaid account balanc decim transact,0
goodmorn sleep,0
call alter,0
say like dat dun buy ericsson oso cannot oredi lar,0
enter cabin said happi day boss felt special askd lunch lunch invit apart went,0
aight dat straight dogg,0
pleas give connect today decim refund bill,0
shoot big load get readi,0
bruv hope great break reward semest,0
home alway chat,0
good studi well,0
yup noe leh,0
sound great home,0
final match head toward draw predict,0
tire slept well past night,0
easi sen got select mean good,0
take exam march,0
yeah think use atm regist sure anyway help let know sure readi,0
prob take time,0
call ubandu run without instal hard disk use copi import file system give repair shop,0
sorri call later,0
say leh cours noth happen lar say romant ju bit lor thk nite sceneri nice leh,0
500 new mobil 2004 must txt nokia 89545 collect today www biz 2optout 087187262701 50gbp mtmsg18,1
would realli appreci call need someon talk,0
meet dream partner soon career flyng start find free txt horo follow star sign horo ari,1
hey compani elama mudyadhu,0
life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happi morn,0
dear good morn,0
get gandhipuram walk cross cut road right side street road turn first right,0
dear go rubber place,0
sorri batteri die yeah,0
ye alway avail work place,0
text meet someon sexi today find date even flirt join 10p repli name age sam msg recd thirtyeight penc,1
print come upstair,0
ill littl closer like bu stop street,0
wil reach,0
new theori argument win situat lose person dont argu friend kick amp say alway correct,0
447801259231 secret admir look make contact find reveal think special call 09058094597,1
tomarrow final hear laptop case cant,0
pleassssssseeeee tel avent done sportsx,0
okay shine meant sign sound better,0
although told dat baig face watch realli like watch gave co thanx everyth dat done today touch,0
rememb old commerci,0
late said websit dont slipper,0
ask call,0
kalli wont bat 2nd inning,0
didnt work goodnight fix readi time wake dearli miss good night sleep,0
congratul award 500 voucher 125gift guarante free entri 100 wkli draw txt music 87066 tnc www ldew com1win150ppmx3age16,1
ranjith cal drpd deeraj deepak 5min hold,0
wen lovabl bcum angri wid dnt take serious coz angri childish true way show deep affect care luv kettoda manda nice day,0
up 3day also ship compani take 2wk way usp take week get lag may bribe nipost get stuff,0
back lemm know readi,0
necessarili expect done get back though headin,0
mmm yummi babe nice jolt suzi,0
lover need,0
tri contact repli offer video handset 750 anytim network min unlimit text camcord repli call 08000930705,1
park next mini come today think,0
yup,0
anyway go shop co si done yet dun disturb liao,0
luton 0125698789 ring around,0
hey realli horni want chat see nake text hot 69698 text charg 150pm unsubscrib text stop 69698,1
dint come,0
wana plan trip sometm,0
sure yet still tri get hold,0
rington servic chang free credit club4mobil com choos content stop txt club stop 87070 150p club4 box1146 mk45 2wt,1
evo download flash jealou,0
rington club get singl chart mobil week choos top qualiti rington messag free charg,1
come sort narcot situat,0
night end anoth day morn come special way may smile like sunni ray leav worri blue blue bay,0
hmv bonu special 500 pound genuin hmv voucher answer easi question play send hmv 86688 info www 100percent real com,1
usf guess might well take car,0
object come,0
thanx,0
tell rob mack theater,0
awesom see bit,0
sent type food like,0
done hand celebr full swing yet,0
got call tool,0
wen miss someon person definit special person special miss keep touch gdeve,0
ask money far,0
oki,0
yeah think usual guy still pass last night get ahold anybodi let know throw,0
might come tonight class let earli,0
babi cruisin girl friend give call hour home that alright fone fone love jenni xxx,0
life mean lot love life love peopl life world call friend call world,0
dear shall mail tonit busi street shall updat tonit thing look varunnathu edukkukaye raksha ollu good one real sens,0
hey told name gautham,0
haf found feel stupid cam work,0
oop got bit,0
much buzi,0
accident delet messag resend pleas,0
mobil custom may claim free camera phone upgrad pay sim card loyalti call 0845 021 3680 offer end 28thfeb appli,1
unless situat gurl would appropri,0
hurt teas make cri end life die plz keep one rose grave say stupid miss nice day bslvyl,0
cant pick phone right pl send messag,0
need coffe run tomo believ time week alreadi,0
awesom rememb last time got somebodi high first time diesel,0
shit realli shock scari cant imagin second def night think somewher could crash night save taxi,0
way food fridg want meal tonight,0
womdarful actor,0
sm blind date rodds1 aberdeen unit kingdom check http img sm icmb3cktz8r7 blind date send hide,1
yup remb think book,0
jo ask wana meet,0
lol ye friendship hang thread caus buy stuff,0
themob check newest select content game tone gossip babe sport keep mobil fit funki text wap 82468,1
garag key bookshelf,0
today accept day accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rpli mean enemi,0
think smart win 200 week weekli quiz text play 85222 winnersclub box m26 3uz gbp1 week,1
say give call friend got money definit buy end week,0
way 2day normal way real uniqu hope know rest mylif hope find wot lost,0
made day great day,0
advanc happi pongal,0
hmmm guess power yoga haha dunno tahan power yoga anot thk got oso forgot liao,0
realli dude friend afraid,0
decemb mobil 11mth entitl updat latest colour camera mobil free call mobil updat free 08002986906,1
coffe cake guess,0
merri christma babe love kiss,0
hey dont watch men lunch haha,0
cud tell ppl gona bit co buse hav gon past co full still waitin pete,0
would great guild could meet bristol road somewher get touch weekend plan take flight good week,0
problem,0
call messag miss call,0
today class,0
say good sign well know track record read women,0
cool text park,0
read text sent meant joke read light,0
apo good movi,0
